_id,DATA,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,endereco_cruzamento,numero_cruzamento,referencia_cruzamento,bairro_cruzamento,num_semaforo,sentido_via,tipo,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
7853,2019-09-10T00:00:00,13:45:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV BOA VIAGEM,5030,"","",AV BOA VIAGEM,5030,"",BOA VIAGEM,,CIDADE,COLISÃO TRASEIRA,COLISÃO SEM VÍTIMA,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,"","",Única,"","",""
7854,2019-09-10T00:00:00,14:23:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA BARAO DE SOUZA LEAO,"",AV DES JOSE NEVES,"",RUA BARAO DE SOUZA LEAO,"","",BOA VIAGEM,,CIDADE,ABALROAMENTO LONGITUDINAL,COLISÃO SEM VÍTIMA,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,"",Outras,60 km/h,Única,Faixa contínua,Faixa seccionada,""
7855,2019-09-10T00:00:00,14:54:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,AV GENERAL SAN MARTIN,"","","",AV GENERAL SAN MARTIN,"","",CORDEIRO,67,SUBURBIO,COLISÃO FRONTAL,MOTO X AUTO PASSEIO S/V,1,1,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,"",Dupla,Não existe,"",""
7856,2019-09-10T00:00:00,15:13:00,SEM VÍTIMA,FINALIZADA,AFOGADOS,AV SUL,"",RUA NICOLAU PEREIRA,"",AV SUL,"","",AFOGADOS,,CIDADE,ABALROAMENTO LONGITUDINAL,COLISÃO SEM VÍTIMA,1,1,,,,,,,,0,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,"",Única,Faixa contínua,"",""
7857,2019-09-10T00:00:00,15:17:00,SEM VÍTIMA,FINALIZADA,MANGABEIRA,AV NORTE,"",RUA DA MANGABEIRA,"",AV NORTE,"","",MANGABEIRA,96,SUBURBIO,COLISÃO TRASEIRA,"COLISÃO SEM VÍTIMA, ENVOLVENDO AUTO E UMA VT DA CTTU (VT 07).",1,,,,,,,1,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,40 km/h,Dupla,Canteiro central,"",""
7858,2019-09-10T00:00:00,15:29:00,SEM VÍTIMA,FINALIZADA,VÁRZEA,AV CAXANGA,"","",EM FRENTE AO TERMINAL DE ÔNIBUS DA CAXANGA,AV CAXANGA,"",EM FRENTE AO TERMINAL DE ÔNIBUS DA CAXANGA,VÁRZEA,,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISÃO SEM VÍTIMA,1,,,,,1,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,60 km/h,Dupla,Canteiro central,"",""
7859,2019-09-10T00:00:00,16:18:00,SEM VÍTIMA,FINALIZADA,PINA,AV REPUBLICA DO LIBANO,"","",EM FRENTE AO ACESSO 1A DO SHOPPING RIO MAR,AV REPUBLICA DO LIBANO,"",EM FRENTE AO ACESSO 1A DO SHOPPING RIO MAR,PINA,,"",ABALROAMENTO LONGITUDINAL,ENTRE DOIS AUTO S/V,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,"","",Única,Faixa seccionada,"",""
7860,2019-09-10T00:00:00,17:40:00,SEM VÍTIMA,CANCELADA,PORTO DA MADEIRA,RUA ARAPARI,"",AV BEBERIBE,EM FRENTE A PIZZARIA ROUCHE,RUA ARAPARI,"",EM FRENTE A PIZZARIA ROUCHE,PORTO DA MADEIRA,,"",COLISÃO,COLISÃO SEM VÍTIMA,1,1,,,,,,,,0,,"","","","","","","","","","","","",""
7861,2019-09-10T00:00:00,18:10:00,COM VÍTIMA,FINALIZADA,CORDEIRO,AV GENERAL SAN MARTIN,73,"",AO LADO DA ESTAÇAO BRT // PROX AO GETULIO VARGAS,AV GENERAL SAN MARTIN,73,AO LADO DA ESTAÇAO BRT // PROX AO GETULIO VARGAS,CORDEIRO,,SUBURBIO,ATROPELAMENTO,PEDESTRE X SHINERAY,,,1,,1,,,,,1,,Longo da via,Bom,Não existe,Ilegível,Seca,Perfeito estado,Não existe,Não há placas,"",Única,Faixa seccionada,"",""
7862,2019-09-10T00:00:00,18:33:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA BARAO DE SOUZA LEAO,"","",PROX A ESCOLA SANTOS DUMONT,RUA BARAO DE SOUZA LEAO,"",PROX A ESCOLA SANTOS DUMONT,BOA VIAGEM,,CIDADE,COLISÃO COM CICLISTA,CICLISTA X HONDA CIT X VT DA PM ESTA NO LOCAL,1,,,1,,,,,,2,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,"","",Única,"","",""
